Chinese,Fitted
"蒜头","garlic"
"自然灾害","natural disaster"
"洋葱","onion"
"葱","onion"
"甘蓝","cabbage"
"甘蓝类","Cabbage"
"生菜","lettuce"
"莴笋","Lettuce"
"山谷类型","valley type"
"菠菜","spinach"
"芦笋","asparagus"
"豆","bean"
"煤","coal"
"天然气","natural gas"
"胡萝卜","carrot"
"泥","mud"
"火成岩","igneous rock"
"沉积岩","sedimentary rock"
"灯笼椒","bell pepper"
"南瓜","pumpkin"
"变质岩","metamorphic rock"
"沙子","sand"
"沙砾","gravel"
"原子","atom"
"黎明","dawn"
"日落","Sunset"
"日落时分","sunset"
"黄昏","dusk"
"夜晚","night"
"彩虹","rainbow"
"反射","reflection"
"折射","refraction"
"阴影","shadow"
"雾","fog"
"雪","Snow"
"下雪","snow"
"雪地","Snow"
"霜","Frost"
"冰","ice"
"湖","lake"
"水库","reservoir"
"池塘","pond"
"泻湖","lagoon"
"闪电","lightning"
"南美大草原","pampas"
"沙漠绿洲","Desert Oasis"
"森林","forest"
"树林","forest"
"沼泽","swamp"
"沼","Swamp"
"牧场","pasture"
"草场","pasture"
"自然拱","natural arch"
"熔岩","lava"
"峡湾","fjord"
"河口","estuary"
"三角洲","delta"
"海滩","beach"
"半岛","peninsula"
"莫赫断崖","Cliffs of Moher"
"洞穴","cave"
"洞室","cave"
"土穴","Cave"
"干旱","drought"
"雪崩","avalanche"
"山崩","landslide"
"地震","earthquake"
"山谷","valley"
"峡谷","canyon"
"玄武岩","basalt"
"砾岩","conglomerate"
"石灰石","limestone"
"沙岩","sandstone"
"琥珀","amber"
"蓝宝石","sapphire"
"冰柱","icicle"
"冰河","glacier"
"亚马逊雨林","amazon rainforest"
"火山喷口","caldera"
"石笋","stalagmite"
"国家公园","National Park"
"灰发","gray hair"
"白发","white hair"
"问候","greeting"
"面对面","face to face"
"桌球台","pool table"
"渔船","fishing boat"
"钱袋","purse"
"家庭办公","home office"
"黄铜","brass"
"钢铁","steel"
"卷尺","tape measure"
"体育团队","sports team"
"草帽","straw hat"
"装饰品","decoration"
"游乐场","playground"
"运动场","playground"
"操场","playground"
"童年","childhood"
"架子","shelf"
"湿","wet"
"毒品滥用","drug abuse"
"犯罪","crime"
"暴力","Violence"
"骚扰","Harassment"
"家庭暴力","domestic violence"
"汗液","sweat"
"收据","Receipt"
"好奇心","curiosity"
"药剂师","pharmacist"
"低的","low"
"绝望","despair"
"洞","Hole"
"斯帕克斯","Sparks"
"骰子","dice"
"棋盘游戏","board game"
"棋墩","chess piece"
"游泳池","swimming pool"
"开关","switch"
"医院","Hospital"
"警察局","police station"
"手术室","operating room"
"精炼厂","refinery"
"炼油厂","refinery"
"石油化工厂","petrochemical plant"
"救生衣","life jacket"
"海洛因","heroin"
"可卡因","cocaine"
"包装","Package"
"疲劳的","tired"
"沟壑","ravine"
"非洲文化","african culture"
"日光","sunlight"
"不完全的","incomplete"
"拉链","zipper"
"金合欢树","acacia tree"
"传统服装","traditional clothing"
"耳麦","Headset"
"游泳护目镜","swimming goggles"
"滨水","waterfront"
"剃光头","Shaved head"
"高尔夫球场","golf course"
"冲浪板","surfboard"
"冲浪运动板","surfboard"
"冲浪滑板","surfboard"
"宗教","religion"
"受害者","victim"
"业主","owner"
"顶层公寓","Penthouse"
"围裙","apron"
"螺线","spiral"
"螺旋","spiral"
"棕熊","brown bear"
"附着的","attached"
"碾碎了的","Crushed"
"车轮","wheel"
"风轮机","wind turbine"
"背靠背","back to back"
"有毒废物","toxic waste"
"一个人","one person"
"全球商务","global business"
"全球财政","global finance"
"商务旅行","business travel"
"岩面","rock face"
"篮球框","Basketball hoop"
"山地车","mountain bike"
"意外与灾害","Accidents and Disasters"
"葡萄园","vineyard"
"牛仔","cowboy"
"独木舟","canoe"
"越南文化","Vietnamese culture"
"埃及文化","egyptian culture"
"树苗","sapling"
"旋转木马","carousel"
"绷带","bandage"
"衰老过程","aging process"
"雪鞋健行","Snowshoeing"
"世界地图","world map"
"游艇","yacht"
"长椅","bench"
"建筑工地","construction site"
"改变","Change"
"转","change"
"会议","Meeting"
"毕业礼服","graduation gown"
"动物交配","animals mating"
"杠铃","barbell"
"印度尼西亚文化","Indonesian culture"
"俄罗斯文化","Russian culture"
"盆栽","potted plant"
"非洲部落文化","african tribal culture"
"中东部落文化","Middle Eastern tribal culture"
"夏尔巴人","Sherpa"
"贝多因人","Bedouin"
"因纽特人","Inuit"
"佛教","Buddhism"
"基督教","Christianity"
"印度教","hinduism"
"伊斯兰教","Islam"
"犹太教","Judaism"
"锡克教","Sikhism"
"道教","Taoism"
"健康生活方式","healthy lifestyle"
"美人","beauty"
"美女","Beauty"
"闪光灯","flash"
"油炸","fried"
"厌恶","disgust"
"贪欲","Greed"
"悬挂的","hanging"
"生物学","biology"
"生物力学","biology"
"顾客","customer"
"动物嘴","animal mouth"
"爪","claw"
"动物毛发","animal hair"
"癌细胞","cancer cell"
"细胞结构","cell structure"
"艾滋病病毒","HIV"
"艾滋病","AIDS"
"流感病毒","flu virus"
"感冒病毒","cold virus"
"维管束","vascular bundle"
"气孔","stomata"
"酵母","yeast"
"脱氧核糖核酸","DNA"
"哮喘吸入器","asthma inhaler"
"维生素C","Vitamin C"
"维生素C的","Vitamin C"
"胎儿","fetus"
"人类肾脏","human kidney"
"人类肝脏","human liver"
"猜疑","Suspicion"
"复杂性","Complexity"
"恶作剧","mischief"
"嫉妒","envy"
"阴谋","conspiracy"
"肩","shoulder"
"钥匙","key"
"铁饼","discus"
"跳高","high jump"
"跳远","long jump"
"推铅球","shot put"
"撑杆跳","pole vault"
"撑杆跳杆","pole vault"
"视网膜","retina"
"骨质疏松症","osteoporosis"
"子宫","Uterus"
"动脉","artery"
"静脉","vein"
"叶脉","vein"
"锻炼","exercising"
"水中有氧运动","water aerobics"
"手势语","sign language"
"翘起大拇指","Thumbs up"
"焊接","welding"
"焊接的","Welding"
"烘干","drying"
"包装纸","wrapping paper"
"垂降","Rappelling"
"攀岩","rock climbing"
"举重","weightlifting"
"骑骆驼赛跑","camel racing"
"射靶运动","target shooting"
"贸易","trading"
"购物","Shopping"
"身体趴板冲浪","Bodyboarding"
"白水漂流","white water rafting"
"仰泳","backstroke"
"蛙泳","breaststroke"
"蝶泳","butterfly stroke"
"自由式游泳","freestyle swimming"
"花式滑水","wakeboarding"
"攀冰","ice climbing"
"无档板篮球","Netball"
"马球","polo"
"MRI扫描仪","MRI scanner"
"胆固醇","cholesterol"
"信息标志","information sign"
"通勤者","commuter"
"问号","question mark"
"音乐符号","musical note"
"图标","icon"
"社会意识符号","social awareness symbol"
"闹钟","Alarm clock"
"保险杠","bumper"
"炸薯条","French fries"
"蜡笔","crayon"
"沙漏","Hourglass"
"锁眼","keyhole"
"电梯","elevator"
"挂锁","padlock"
"人行道","sidewalk"
"门口","doorway"
"小吃","snack"
"技术员","technician"
"球洞区","putting green"
"营火","campfire"
"学位帽","mortarboard"
"礼帽","top hat"
"大礼帽","top hat"
"水手帽","sailor hat"
"圆顶硬礼帽","bowler hat"
"牛仔帽","Cowboy hat"
"游泳帽","swimming cap"
"棒球帽","baseball cap"
"运动目标","sports target"
"直的","straight"
"阳伞","parasol"
"遮阳伞","parasol"
"攀岩墙","climbing wall"
"镖","dart"
"奖牌","medal"
"枪筒","gun barrel"
"螺旋桨","propeller"
"按键区","Keypad"
"钟面","clock face"
"粘土","clay"
"铸锭","ingot"
"吸液管","Pipette"
"饰头巾","turban"
"包头巾","turban"
"纵横字谜","crossword puzzle"
"缎子","satin"
"格子图案","Plaid"
"蓝莓","blueberry"
"蔓越桔","cranberry"
"覆盆子","raspberry"
"花楸浆果","rowanberry"
"摄影师","photographer"
"拍照","Photograph"
"金毛寻回犬","Golden Retriever"
"军事","military"
"佛","Buddha"
"座舱","cockpit"
"发电站","power station"
"地热发电站","geothermal power station"
"太阳能发电站","Solar Power Station"
"涡轮","turbine"
"遗传研究","genetic research"
"光合作用","photosynthesis"
"授粉","pollination"
"过敏","allergy"
"替代医药","alternative medicine"
"芳香疗法","Aromatherapy"
"针灸","Acupuncture"
"恐惧症","phobia"
"打印件","printout"
"圣诞树","Christmas tree"
"圣诞老人","Santa Claus"
"圣诞老婆婆","Santa Claus"
"动物手","animal hand"
"政府大楼","government building"
"摩天大楼","skyscraper"
"法律","law"
"律法","law"
"撞击","impact"
"唱盘","Turntable"
"烟嘴","cigarette holder"
"电影","Movie"
"社会历史","social history"
"保姆","nanny"
"爱德华七世时代风格","Edwardian style"
"1915","1915"
"1920","1920"
"1922","1922"
"1940","1940"
"1947","1947"
"1980","1980"
"1985","1985"
"对称","symmetry"
"网球网","tennis net"
"板球桩","cricket stump"
"拳击台","boxing ring"
"拳击沙袋","punching bag"
"桑拿浴","sauna"
"健身车","exercise bike"
"马术表演跳","equestrian show jumping"
"跳台滑雪","ski jumping"
"溜冰场","ice rink"
"水球","water polo"
"背包","Backpack"
"议会大楼","parliament building"
"动物血液","animal blood"
"威尼斯狂欢节","Venice Carnival"
"潜水艇","submarine"
"恐怖","fear"
"恐惧","fear"
"害怕","Fear"
"苦差事","drudgery"
"贫穷","poverty"
"儿童","child"
"青少年","teenager"
"成年的","adult"
"裤子","Pants"
"中裤","Pants"
"象形文字","hieroglyphics"
"臀部","buttocks"
"臀","buttocks"
"骨盆","pelvis"
"白血病","leukemia"
"巴西文化","brazilian culture"
"墨西哥文化","mexican culture"
"希腊文化","Greek culture"
"奥地利文化","Austrian culture"
"瑞士文化","Swiss culture"
"疼痛","pain"
"意大利国旗","italian flag"
"瑞士国旗","Swiss flag"
"不列颠国旗","british flag"
"英国旗","british flag"
"美国国旗","American flag"
"加拿大国旗","canadian flag"
"德国国旗","german flag"
"马来西亚国旗","malaysian flag"
"墨西哥国旗","mexican flag"
"俄罗斯国旗","Russian flag"
"西班牙国旗","spanish flag"
"泰国文化","Thai culture"
"杂耍","Juggling"
"派对帽","party hat"
"加勒比海文化","caribbean culture"
"棚屋","hut"
"呼机","pager"
"公共信箱","Public mailbox"
"电线杆","telephone pole"
"新闻记者","journalist"
"电影摄像机","movie camera"
"祭坛","altar"
"树冠","canopy"
"天篷","canopy"
"梯子","ladder"
"陵墓","tomb"
"廊桥","covered bridge"
"墓碑","tombstone"
"尖栅栏","picket fence"
"天使","Angel"
"台阶","steps"
"演员","actor"
"冷却塔","Cooling Tower"
"政治","politics"
"婴儿床","crib"
"新艺术主义","art nouveau"
"动物园","zoo"
"平铺","Tile"
"伪饰","camouflage"
"伪装","camouflage"
"牧羊人","shepherd"
"牧人","shepherd"
"政治家","politician"
"结婚蛋糕","wedding cake"
"生日蛋糕","Birthday Cake"
"甜馅饼","sweet pie"
"政治集会","political rally"
"糕点面团","pastry dough"
"壁炉","fireplace"
"半木结构","half-timbered"
"爆米花","Popcorn"
"汉堡包","hamburger"
"双体船","Catamaran"
"园艺","gardening"
"除草","weeding"
"种植","planting"
"百吉饼","bagel"
"法式长棍面包","baguette"
"烤土豆","baked beans"
"烘豆","baked beans"
"牛肉","beef"
"开瓶器","bottle opener"
"擦菜板","cutting board"
"筷子","Chopsticks"
"咖啡壶","coffee pot"
"牛角面包","croissant"
"调味品","condiment"
"火腿","Ham"
"烤肉串","kebab"
"羊肉串","Kebab"
"菜单","menu"
"松饼","muffin"
"芥花","mustard"
"芥末","mustard"
"芥菜","mustard"
"橄榄油","olive oil"
"薄煎饼","Pancake"
"化学","Chemical"
"擀面杖","rolling pin"
"三明治","sandwich"
"意大利面","spaghetti"
"意大利干面条","Spaghetti"
"蒸锅","steamer"
"寿司","sushi"
"茶壶","teapot"
"干的","dry"
"灰尘","dust"
"堆土机","Backhoe"
"污水","sewage"
"树桩","tree stump"
"锡","tin"
"棒棒糖","Lollipop"
"双峰骆驼","Bactrian camel"
"巨蜥属","monitor lizard"
"寻回犬","retriever"
"鲭鱼","mackerel"
"梗犬","terrier"
"西高地白猎犬","West Highland White Terrier"
"约克郡犬","yorkshire terrier"
"杰克拉瑟短腿犬","Jack Russell Terrier"
"番茄酱","ketchup"
"滑翔机","glider"
"排气管","exhaust pipe"
"耕犁","plow"
"播种","sowing"
"霸王龙","Tyrannosaurus rex"
"德国牧羊犬","german shepherd"
"美洲野牛","American bison"
"蚊子","mosquito"
"澳大利亚牧羊犬","australian shepherd"
"梭鱼类","barracuda"
"孟加拉虎","Bengal tiger"
"边境牧羊犬","border collie"
"褐鳟","brown trout"
"斗牛犬","Bulldog"
"鲤鱼","carp"
"鲶鱼","catfish"
"猎犬","hound"
"腊肠犬","dachshund"
"杜宾犬","doberman pinscher"
"单峰骆驼","dromedary camel"
"大丹狗","Great Dane"
"咕噜鱼","grunt fish"
"寄生蟹","hermit crab"
"鬣蜥蜴","iguana"
"查理王小猎犬","king charles spaniel"
"獒犬","Mastiff"
"细尾獴","Meerkat"
"黑脉金斑蝶","monarch butterfly"
"牧羊犬","sheepdog"
"博美犬","Pomeranian"
"贵宾犬","Poodle"
"罗威纳犬","rottweiler"
"沙丁鱼","sardine"
"鲈鱼","sea ​​bass"
"海胆","sea ​​urchin"
"西伯利亚哈士奇犬","siberian husky"
"软珊瑚","soft coral"
"斑点鳟鱼","speckled trout"
"牦牛","yak"
"天气","weather"
"八仙花属","Hydrangea"
"丁香花","lilac"
"牡丹","peony"
"石榴","Pomegranate"
"金鱼","goldfish"
"地质学","geology"
"杜鹃花属","Rhododendron"
"菊花","chrysanthemum"
"茼蒿","chrysanthemum"
"矢车菊","Cornflower"
"大丽花属","Dahlia"
"蒲公英","dandelion"
"木槿属","Hibiscus"
"小苍兰","Freesia"
"剑兰","gladiolus"
"葱属植物花","allium flower"
"风信子","hyacinth"
"葡萄风信子","grape hyacinth"
"兰花","orchid"
"樱草属","Primrose"
"马蹄莲","calla lily"
"苹果花","apple blossom"
"自然地理","physical geography"
"演说","speech"
"演讲","speech"
"新森林","new forest"
"牵牛花","morning glory"
"监狱","prison"
"果园","orchard"
"苹果园","apple orchard"
"红醋栗","red currant"
"三角梅","bougainvillea"
"萨挂诺仙人掌","saguaro cactus"
"杏","apricot"
"杏树","apricot"
"夏敦埃葡萄","Chardonnay grape"
"西瓜","watermelon"
"杏仁","almond"
"腰果","cashew"
"榛子","hazelnut"
"开心果","pistachio"
"油桃","nectarine"
"椰子","coconut"
"无花果","Fig"
"菠萝","Pineapple"
"藜麦","Quinoa"
"梯牧草","timothy grass"
"甘蔗","sugar cane"
"茴芹","anise"
"星茴芹","star anise"
"罗勒","basil"
"芹菜","celery"
"莳萝","Dill"
"茴香","fennel"
"人参","Ginseng"
"柠檬草","lemon grass"
"芝麻","Sesame"
"姜黄","turmeric"
"旱金莲花","Nasturtium"
"肉豆蔻","nutmeg"
"南美杉树","cedar tree"
"柏树","cypress tree"
"山毛榉树","beech tree"
"黑刺莓","Blackthorn"
"红花槭","red maple"
"梨树","pear tree"
"悬铃树","plane tree"
"李树","plum tree"
"垂柳","weeping willow"
"香蕉树","banana tree"
"猴面包树","baobab tree"
"橡胶树","rubber tree"
"朝鲜蓟","artichoke"
"茄子","eggplant"
"鳄梨","avocado"
"红球甘蓝","red cabbage"
"西兰花","broccoli"
"甘薯","sweet potato"
"萝卜","radish"
"芜菁","turnip"
"夏南瓜","zucchini"
"黄瓜","cucumber"
"胡瓜","cucumber"
"葫芦","gourd"
"樱桃番茄","Cherry tomato"
"胡桃","walnut"
"罗望子","Tamarind"
"三叶草","clover"
"爪子","paw"
"动物颈部","animal neck"
"人类骨架","human skeleton"
"摩托艇","motorboat"
"汽艇","motorboat"
"珍珠首饰","pearl jewelry"
"圆木","Log"
"信封","envelope"
"明信片","postcard"
"心理治疗","psychotherapy"
"仰卧起坐","Sit-ups"
"电动扶梯","Escalator"
"头痛","Headache"
"套索","lasso"
"套马索","lasso"
"婚礼角色","wedding role"
"汽车旅馆","Motel"
"货币","currency"
"千禧年","millennium"
"拍卖","auction"
"雪茄","cigar"
"宗教群众","religious mass"
"朝圣","pilgrimage"
"熏香","Incense"
"白葡萄酒","White wine"
"红葡萄酒","red wine"
"停车计时器","parking meter"
"猪肉","pork"
"火鸡肉","turkey meat"
"鱼子酱","caviar"
"烟熏食品","smoked food"
"烤的","baked"
"圆锥帐篷","teepee"
"炮","gun"
"机关枪","machine gun"
"花木匠","Carpenter"
"鞋匠","shoemaker"
"图画书","picture book"
"排水","drain"
"高尔夫球车","golf cart"
"采石场","quarry"
"歌手","singer"
"休闲椅","lounge chair"
"躺椅","lounge chair"
"音乐风格","music style"
"布鲁斯音乐","blues music"
"民间音乐","folk music"
"龙","dragon"
"北极燕鸥","arctic tern"
"苍鹭","heron"
"鹳","stork"
"鹅卵石","cobblestone"
"音乐","music"
"州立公园","state park"
"海滩小屋","beach hut"
"女牛仔","cowgirl"
"消防栓","fire hydrant"
"五金商店","hardware store"
"热狗","hot dog"
"校车","school bus"
"圣经","Bible"
"宇航员","astronaut"
"独立宣言","Declaration of Independence"
"救生员","Lifeguard"
"花卉花环","floral garland"
"褐色砂石","brownstone"
"孕检","pregnancy test"
"温度计","thermometer"
"战场","battlefield"
"美人鱼","Mermaid"
"人鱼","mermaid"
"罪犯","criminal"
"盗贼","thief"
"夜贼","burglar"
"犯人","prisoner"
"银行劫匪","bank robber"
"娼妓","prostitute"
"妓女","prostitute"
"手铐","handcuffs"
"胃疼","stomachache"
"身体受伤","physical injury"
"扭伤","sprain"
